         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas5240         Pavarde5240             3.33333            3.6
     Vardas5241         Pavarde5241             4.34667            4.4
     Vardas5242         Pavarde5242                3.28            3.2
     Vardas5243         Pavarde5243             6.98667            6.8
     Vardas5244         Pavarde5244             3.41333            3.6
     Vardas5245         Pavarde5245             2.57333            2.2
     Vardas5246         Pavarde5246             2.81333            2.6
     Vardas5247         Pavarde5247                3.76            3.6
     Vardas5248         Pavarde5248             4.42667            4.4
     Vardas5249         Pavarde5249             6.61333            6.4
      Vardas525          Pavarde525             8.37333            8.4
     Vardas5250         Pavarde5250                2.92              3
     Vardas5251         Pavarde5251                5.12            5.6
     Vardas5252         Pavarde5252                2.36            2.6
     Vardas5253         Pavarde5253             4.38667            4.6
     Vardas5254         Pavarde5254             4.17333            3.8
     Vardas5255         Pavarde5255                6.32            6.4
     Vardas5256         Pavarde5256             7.58667              7
     Vardas5257         Pavarde5257             3.97333            3.6
     Vardas5258         Pavarde5258                7.92              8
     Vardas5259         Pavarde5259             3.10667              3
      Vardas526          Pavarde526                5.76            5.6
     Vardas5260         Pavarde5260             8.50667            8.8
     Vardas5261         Pavarde5261             6.62667            6.6
     Vardas5262         Pavarde5262             3.77333            3.4
     Vardas5263         Pavarde5263             3.33333            3.2
     Vardas5264         Pavarde5264             6.70667            6.6
     Vardas5265         Pavarde5265             3.81333              4
     Vardas5266         Pavarde5266                2.28            2.2
     Vardas5267         Pavarde5267             8.05333              8
     Vardas5268         Pavarde5268             4.53333            4.4
     Vardas5269         Pavarde5269                7.32              7
      Vardas527          Pavarde527             6.18667            6.4
     Vardas5270         Pavarde5270             5.05333              5
     Vardas5271         Pavarde5271             5.34667              5
     Vardas5272         Pavarde5272             4.34667            4.4
     Vardas5273         Pavarde5273             6.77333            7.2
     Vardas5274         Pavarde5274                4.96            5.2
     Vardas5275         Pavarde5275                4.16            4.4
     Vardas5276         Pavarde5276                2.92              3
     Vardas5277         Pavarde5277             3.94667              4
     Vardas5278         Pavarde5278             4.33333            3.8
     Vardas5279         Pavarde5279             8.74667            8.8
      Vardas528          Pavarde528                6.72            6.4
     Vardas5280         Pavarde5280                3.84            3.6
     Vardas5281         Pavarde5281                3.96            3.8
     Vardas5282         Pavarde5282             4.22667            4.6
     Vardas5283         Pavarde5283                5.32            5.4
     Vardas5284         Pavarde5284                6.48              6
     Vardas5285         Pavarde5285             5.02667              5
     Vardas5286         Pavarde5286             6.77333            6.8
     Vardas5287         Pavarde5287             4.22667            4.2
     Vardas5288         Pavarde5288             5.66667            6.2
     Vardas5289         Pavarde5289                7.84            7.6
      Vardas529          Pavarde529             5.70667            5.6
     Vardas5290         Pavarde5290             5.77333            5.8
     Vardas5291         Pavarde5291             3.53333            3.4
     Vardas5292         Pavarde5292                5.32            5.4
     Vardas5293         Pavarde5293             7.17333            7.6
     Vardas5294         Pavarde5294             8.06667            8.6
     Vardas5295         Pavarde5295             3.98667            4.2
     Vardas5296         Pavarde5296                 4.4            4.4
     Vardas5297         Pavarde5297             6.54667            6.6
     Vardas5298         Pavarde5298                 6.6            6.6
     Vardas5299         Pavarde5299                 6.4              6
       Vardas53           Pavarde53             2.94667              3
      Vardas530          Pavarde530                5.48            5.4
     Vardas5300         Pavarde5300             3.09333            2.8
     Vardas5301         Pavarde5301             5.29333              5
     Vardas5302         Pavarde5302             4.33333            4.6
     Vardas5303         Pavarde5303                 7.2            6.8
     Vardas5304         Pavarde5304             8.74667            9.2
     Vardas5305         Pavarde5305                5.24              5
     Vardas5306         Pavarde5306             3.22667            3.2
     Vardas5307         Pavarde5307                4.96            5.2
     Vardas5308         Pavarde5308                6.96            6.8
     Vardas5309         Pavarde5309             5.94667            5.6
      Vardas531          Pavarde531             2.82667            2.8
     Vardas5310         Pavarde5310             5.34667            5.8
     Vardas5311         Pavarde5311             4.53333            4.4
     Vardas5312         Pavarde5312             5.70667            5.6
     Vardas5313         Pavarde5313             7.97333              8
     Vardas5314         Pavarde5314                5.16              5
     Vardas5315         Pavarde5315             7.94667              8
     Vardas5316         Pavarde5316                5.04            5.2
     Vardas5317         Pavarde5317                6.24            6.4
     Vardas5318         Pavarde5318                7.04            6.8
     Vardas5319         Pavarde5319             7.94667              8
      Vardas532          Pavarde532             4.21333              4
     Vardas5320         Pavarde5320                6.04            6.2
     Vardas5321         Pavarde5321             5.82667            5.4
     Vardas5322         Pavarde5322             3.69333            3.4
     Vardas5323         Pavarde5323                5.76            5.6
     Vardas5324         Pavarde5324             8.50667            8.8
     Vardas5325         Pavarde5325             6.10667            6.4
     Vardas5326         Pavarde5326             3.06667            3.2
     Vardas5327         Pavarde5327             6.30667            6.2
     Vardas5328         Pavarde5328             7.37333              7
     Vardas5329         Pavarde5329             2.33333            2.2
      Vardas533          Pavarde533             6.41333            6.6
     Vardas5330         Pavarde5330             4.74667            4.8
     Vardas5331         Pavarde5331                4.64            4.8
     Vardas5332         Pavarde5332             4.53333            4.8
     Vardas5333         Pavarde5333             5.94667              6
     Vardas5334         Pavarde5334             6.93333            6.8
     Vardas5335         Pavarde5335             4.46667            4.2
     Vardas5336         Pavarde5336                4.64            4.4
     Vardas5337         Pavarde5337             2.57333            2.2
     Vardas5338         Pavarde5338                6.28            6.6
     Vardas5339         Pavarde5339             5.89333            5.6
      Vardas534          Pavarde534             6.93333            6.8
     Vardas5340         Pavarde5340             3.41333              4
     Vardas5341         Pavarde5341             4.26667              4
     Vardas5342         Pavarde5342                5.92              6
     Vardas5343         Pavarde5343                7.64            7.8
     Vardas5344         Pavarde5344             3.57333            3.6
     Vardas5345         Pavarde5345                 5.8            6.2
     Vardas5346         Pavarde5346             8.37333            8.4
     Vardas5347         Pavarde5347             7.50667            7.8
     Vardas5348         Pavarde5348                8.72            8.8
     Vardas5349         Pavarde5349             5.10667              5
      Vardas535          Pavarde535             6.30667            6.2
     Vardas5350         Pavarde5350                3.64            3.8
     Vardas5351         Pavarde5351             7.85333            8.2
     Vardas5352         Pavarde5352             2.98667            2.8
     Vardas5353         Pavarde5353                6.08              6
     Vardas5354         Pavarde5354             7.18667              7
     Vardas5355         Pavarde5355             5.97333            5.6
     Vardas5356         Pavarde5356             5.45333            5.8
     Vardas5357         Pavarde5357             7.50667            7.8
     Vardas5358         Pavarde5358             3.62667            3.6
     Vardas5359         Pavarde5359                   3            3.4
      Vardas536          Pavarde536             7.81333            7.6
     Vardas5360         Pavarde5360             4.14667            4.2
     Vardas5361         Pavarde5361             7.54667              8
     Vardas5362         Pavarde5362                6.64            6.4
     Vardas5363         Pavarde5363             2.62667            2.6
     Vardas5364         Pavarde5364             6.29333            6.4
     Vardas5365         Pavarde5365                 5.4            5.8
     Vardas5366         Pavarde5366                6.52            6.6
     Vardas5367         Pavarde5367             5.26667            4.6
     Vardas5368         Pavarde5368                7.64            7.8
     Vardas5369         Pavarde5369             3.77333            3.8
      Vardas537          Pavarde537             2.30667            2.2
     Vardas5370         Pavarde5370             5.57333            5.6
     Vardas5371         Pavarde5371                7.92            7.6
     Vardas5372         Pavarde5372             8.29333              8
     Vardas5373         Pavarde5373             5.62667            5.6
     Vardas5374         Pavarde5374                5.52            5.6
     Vardas5375         Pavarde5375             5.33333            5.2
     Vardas5376         Pavarde5376             2.81333            3.4
     Vardas5377         Pavarde5377             6.81333              7
     Vardas5378         Pavarde5378             5.65333            5.2
     Vardas5379         Pavarde5379             5.18667              5
      Vardas538          Pavarde538                3.12            2.8
     Vardas5380         Pavarde5380             7.73333            7.6
     Vardas5381         Pavarde5381             8.01333            7.8
     Vardas5382         Pavarde5382                4.88            5.2
     Vardas5383         Pavarde5383             5.53333            5.8
     Vardas5384         Pavarde5384             6.57333            6.6
     Vardas5385         Pavarde5385                3.12            2.8
     Vardas5386         Pavarde5386                3.52            3.6
     Vardas5387         Pavarde5387             2.78667            2.6
     Vardas5388         Pavarde5388             6.93333            6.8
     Vardas5389         Pavarde5389             6.05333              6
      Vardas539          Pavarde539             8.37333            8.4
     Vardas5390         Pavarde5390             3.57333            3.6
     Vardas5391         Pavarde5391             6.13333              6
     Vardas5392         Pavarde5392             3.49333            3.6
     Vardas5393         Pavarde5393                7.04            7.2
     Vardas5394         Pavarde5394                2.44            2.2
     Vardas5395         Pavarde5395             4.09333            3.8
     Vardas5396         Pavarde5396             6.69333            6.8
     Vardas5397         Pavarde5397             4.33333              5
     Vardas5398         Pavarde5398                6.04            5.4
     Vardas5399         Pavarde5399             3.49333            3.6
       Vardas54           Pavarde54                 5.6            5.6
      Vardas540          Pavarde540             8.45333            8.8
     Vardas5400         Pavarde5400             6.82667            6.8
     Vardas5401         Pavarde5401                5.76            6.4
     Vardas5402         Pavarde5402             4.06667            4.2
     Vardas5403         Pavarde5403                4.16              4
     Vardas5404         Pavarde5404             5.61333            5.8
     Vardas5405         Pavarde5405             5.01333            5.2
     Vardas5406         Pavarde5406             3.98667            4.2
     Vardas5407         Pavarde5407                8.16              8
     Vardas5408         Pavarde5408             5.49333            5.6
     Vardas5409         Pavarde5409             7.06667            7.2
      Vardas541          Pavarde541             5.53333            5.8
     Vardas5410         Pavarde5410                2.84            2.6
     Vardas5411         Pavarde5411             3.01333            2.8
     Vardas5412         Pavarde5412                7.04            6.8
     Vardas5413         Pavarde5413                5.32            5.4
     Vardas5414         Pavarde5414             6.41333            6.2
     Vardas5415         Pavarde5415             7.90667            7.8
     Vardas5416         Pavarde5416             7.58667            7.8
     Vardas5417         Pavarde5417             6.62667              7
     Vardas5418         Pavarde5418                6.04            5.8
     Vardas5419         Pavarde5419             6.25333            6.2
      Vardas542          Pavarde542             7.97333              8
     Vardas5420         Pavarde5420                3.84            3.6
     Vardas5421         Pavarde5421             8.29333            8.4
     Vardas5422         Pavarde5422             6.10667              6
     Vardas5423         Pavarde5423             5.78667              6
     Vardas5424         Pavarde5424                7.12            7.2
     Vardas5425         Pavarde5425             4.29333            4.4
     Vardas5426         Pavarde5426                3.24            3.4
     Vardas5427         Pavarde5427             4.85333            5.6
     Vardas5428         Pavarde5428             6.01333            5.8
     Vardas5429         Pavarde5429                4.12            4.2
      Vardas543          Pavarde543                5.16              5
     Vardas5430         Pavarde5430                8.88            9.2
     Vardas5431         Pavarde5431             6.17333            5.8
     Vardas5432         Pavarde5432             4.54667            4.6
     Vardas5433         Pavarde5433                3.04            2.8
     Vardas5434         Pavarde5434             4.41333            4.6
     Vardas5435         Pavarde5435                7.04            6.8
     Vardas5436         Pavarde5436             5.18667              5
     Vardas5437         Pavarde5437                7.96            8.6
     Vardas5438         Pavarde5438             3.58667            3.4
     Vardas5439         Pavarde5439                 5.6            5.6
      Vardas544          Pavarde544             4.86667            4.6
     Vardas5440         Pavarde5440             4.34667              4
     Vardas5441         Pavarde5441                 5.6            5.2
     Vardas5442         Pavarde5442             4.73333            4.6
     Vardas5443         Pavarde5443                8.32              8
     Vardas5444         Pavarde5444             4.85333            5.2
     Vardas5445         Pavarde5445                6.96            7.2
     Vardas5446         Pavarde5446             3.13333              3
     Vardas5447         Pavarde5447             4.61333            4.8
     Vardas5448         Pavarde5448             6.69333            6.8
     Vardas5449         Pavarde5449             5.10667              5
      Vardas545          Pavarde545             2.62667            2.2
     Vardas5450         Pavarde5450             6.10667              6
     Vardas5451         Pavarde5451                5.56            5.8
     Vardas5452         Pavarde5452             3.74667            3.4
     Vardas5453         Pavarde5453             7.54667            7.6
     Vardas5454         Pavarde5454             2.46667            2.6
     Vardas5455         Pavarde5455                 8.4            8.4
     Vardas5456         Pavarde5456             3.45333            3.8
     Vardas5457         Pavarde5457             4.89333            4.6
     Vardas5458         Pavarde5458             8.34667              8
     Vardas5459         Pavarde5459                   5              5
      Vardas546          Pavarde546             4.25333            4.2
     Vardas5460         Pavarde5460             6.22667            6.2
     Vardas5461         Pavarde5461             3.62667              4
     Vardas5462         Pavarde5462             5.21333              5
     Vardas5463         Pavarde5463             6.78667            6.6
     Vardas5464         Pavarde5464             5.26667            5.4
     Vardas5465         Pavarde5465                2.92            3.4
     Vardas5466         Pavarde5466                7.24            7.4
     Vardas5467         Pavarde5467                4.64              4
     Vardas5468         Pavarde5468                6.48            6.4
     Vardas5469         Pavarde5469             4.98667            4.8
      Vardas547          Pavarde547             6.77333            6.4
     Vardas5470         Pavarde5470             3.57333            3.6
     Vardas5471         Pavarde5471             5.65333            5.6
     Vardas5472         Pavarde5472             7.26667              7
     Vardas5473         Pavarde5473             6.22667            5.8
     Vardas5474         Pavarde5474                4.96            5.6
     Vardas5475         Pavarde5475                7.92            7.6
     Vardas5476         Pavarde5476             5.86667            5.6
     Vardas5477         Pavarde5477                 6.8            6.8
     Vardas5478         Pavarde5478                 4.2            4.6
     Vardas5479         Pavarde5479             4.14667            3.8
      Vardas548          Pavarde548             4.41333            4.2
     Vardas5480         Pavarde5480             5.86667              6
     Vardas5481         Pavarde5481             3.90667            3.4
     Vardas5482         Pavarde5482                8.24              8
     Vardas5483         Pavarde5483                7.64            7.8
     Vardas5484         Pavarde5484                7.24              7
     Vardas5485         Pavarde5485                4.88            4.8
     Vardas5486         Pavarde5486             3.14667            3.2
     Vardas5487         Pavarde5487                7.16            6.6
     Vardas5488         Pavarde5488                2.52            2.6
     Vardas5489         Pavarde5489             5.94667            6.4
      Vardas549          Pavarde549             3.85333              3
     Vardas5490         Pavarde5490             5.34667              5
     Vardas5491         Pavarde5491             4.22667            4.6
     Vardas5492         Pavarde5492             8.26667            8.4
     Vardas5493         Pavarde5493                6.52            6.6
     Vardas5494         Pavarde5494             7.38667            7.6
     Vardas5495         Pavarde5495             2.57333            2.6
     Vardas5496         Pavarde5496             2.54667            2.6
     Vardas5497         Pavarde5497             2.78667            2.6
     Vardas5498         Pavarde5498             3.50667            3.8
     Vardas5499         Pavarde5499             6.46667            6.2
       Vardas55           Pavarde55             7.45333              7
      Vardas550          Pavarde550             6.30667            6.6
     Vardas5500         Pavarde5500             3.17333            3.2
     Vardas5501         Pavarde5501             4.45333            4.4
     Vardas5502         Pavarde5502                2.92            2.6
     Vardas5503         Pavarde5503                6.68              7
     Vardas5504         Pavarde5504             5.14667            5.2
     Vardas5505         Pavarde5505                7.04            6.8
     Vardas5506         Pavarde5506             8.29333              8
     Vardas5507         Pavarde5507             5.18667            4.6
     Vardas5508         Pavarde5508                6.72            7.2
     Vardas5509         Pavarde5509             3.14667            3.2
      Vardas551          Pavarde551             6.05333              6
     Vardas5510         Pavarde5510             4.86667            4.6
     Vardas5511         Pavarde5511             3.77333              3
     Vardas5512         Pavarde5512                8.32              8
     Vardas5513         Pavarde5513             4.29333              4
     Vardas5514         Pavarde5514             2.66667            2.4
     Vardas5515         Pavarde5515                5.76            5.6
     Vardas5516         Pavarde5516             4.38667            4.2
     Vardas5517         Pavarde5517             4.30667            4.2
     Vardas5518         Pavarde5518             6.17333            6.2
     Vardas5519         Pavarde5519             7.89333              8
      Vardas552          Pavarde552             4.14667            4.2
     Vardas5520         Pavarde5520             7.61333            7.8
     Vardas5521         Pavarde5521                5.16              5
     Vardas5522         Pavarde5522             6.54667            6.6
     Vardas5523         Pavarde5523             4.45333              4
     Vardas5524         Pavarde5524             7.86667            7.6
     Vardas5525         Pavarde5525             6.70667            6.6
     Vardas5526         Pavarde5526             5.34667            5.4
     Vardas5527         Pavarde5527                5.64            5.8
     Vardas5528         Pavarde5528                2.44            2.6
     Vardas5529         Pavarde5529             6.78667            7.4
      Vardas553          Pavarde553             3.62667              4
     Vardas5530         Pavarde5530                6.12            5.8
     Vardas5531         Pavarde5531                 3.8            3.8
     Vardas5532         Pavarde5532             3.09333            3.2
     Vardas5533         Pavarde5533             8.18667              8
     Vardas5534         Pavarde5534                2.76              3
     Vardas5535         Pavarde5535             4.85333            5.2
     Vardas5536         Pavarde5536             3.42667            4.2
     Vardas5537         Pavarde5537             3.01333            2.8
     Vardas5538         Pavarde5538             3.49333            3.6
     Vardas5539         Pavarde5539             5.18667            5.4
      Vardas554          Pavarde554             5.70667            5.2
     Vardas5540         Pavarde5540             6.69333            6.8
     Vardas5541         Pavarde5541             5.06667            5.2
     Vardas5542         Pavarde5542             8.10667            8.4
     Vardas5543         Pavarde5543             4.09333            4.6
     Vardas5544         Pavarde5544                4.72            4.8
     Vardas5545         Pavarde5545             7.97333              8
     Vardas5546         Pavarde5546                7.04            6.8
     Vardas5547         Pavarde5547             5.93333            5.8
     Vardas5548         Pavarde5548             7.34667            7.4
     Vardas5549         Pavarde5549             6.02667            6.4
      Vardas555          Pavarde555             7.77333            7.8
     Vardas5550         Pavarde5550                 6.2            6.6
     Vardas5551         Pavarde5551             4.61333            4.4
     Vardas5552         Pavarde5552             7.74667            8.2
     Vardas5553         Pavarde5553             3.77333            3.8
     Vardas5554         Pavarde5554             6.06667            6.2
     Vardas5555         Pavarde5555                 6.2            5.8
     Vardas5556         Pavarde5556                3.56            3.4
     Vardas5557         Pavarde5557             6.45333            6.8
     Vardas5558         Pavarde5558             3.89333            3.6
     Vardas5559         Pavarde5559             5.49333            5.6
      Vardas556          Pavarde556             2.57333            2.2
     Vardas5560         Pavarde5560                 8.4            8.4
     Vardas5561         Pavarde5561                7.92              8
     Vardas5562         Pavarde5562             3.93333            4.2
     Vardas5563         Pavarde5563             6.02667            6.4
     Vardas5564         Pavarde5564                8.08            7.6
     Vardas5565         Pavarde5565             6.30667            6.2
     Vardas5566         Pavarde5566                3.44              4
     Vardas5567         Pavarde5567                5.52            5.2
     Vardas5568         Pavarde5568                6.52            6.6
     Vardas5569         Pavarde5569             7.29333              7
      Vardas557          Pavarde557                7.56            7.8
     Vardas5570         Pavarde5570             4.17333            4.6
     Vardas5571         Pavarde5571                4.72            4.4
     Vardas5572         Pavarde5572             8.29333            8.4
     Vardas5573         Pavarde5573             7.98667            8.6
     Vardas5574         Pavarde5574             4.17333            4.2
     Vardas5575         Pavarde5575             3.65333              4
     Vardas5576         Pavarde5576             8.18667              8
     Vardas5577         Pavarde5577             5.65333            5.2
     Vardas5578         Pavarde5578                8.08            8.4
     Vardas5579         Pavarde5579             6.26667              6
      Vardas558          Pavarde558                 2.6            2.6
     Vardas5580         Pavarde5580                6.08              6
     Vardas5581         Pavarde5581             3.89333              4
     Vardas5582         Pavarde5582             8.01333            8.2
     Vardas5583         Pavarde5583             3.85333            3.8
     Vardas5584         Pavarde5584             6.74667            7.2
     Vardas5585         Pavarde5585             6.93333            6.8
     Vardas5586         Pavarde5586             5.57333              6
     Vardas5587         Pavarde5587             6.29333            6.4
     Vardas5588         Pavarde5588             6.49333            6.2
     Vardas5589         Pavarde5589                8.16            8.4
      Vardas559          Pavarde559             6.41333            6.2
     Vardas5590         Pavarde5590                5.48            5.4
     Vardas5591         Pavarde5591             8.34667            8.8
     Vardas5592         Pavarde5592             3.41333            3.6
     Vardas5593         Pavarde5593             4.66667            4.4
     Vardas5594         Pavarde5594             3.90667            3.4
     Vardas5595         Pavarde5595                4.48            4.4
     Vardas5596         Pavarde5596             4.17333            4.2
     Vardas5597         Pavarde5597                4.04            4.2
     Vardas5598         Pavarde5598             5.38667            5.2
     Vardas5599         Pavarde5599             7.50667            7.8
       Vardas56           Pavarde56             5.02667            5.4
      Vardas560          Pavarde560             8.29333            8.4
     Vardas5600         Pavarde5600                 3.8            3.4
     Vardas5601         Pavarde5601             2.89333              3
     Vardas5602         Pavarde5602             7.01333            7.2
     Vardas5603         Pavarde5603             2.30667            2.2
     Vardas5604         Pavarde5604             3.62667            3.2
     Vardas5605         Pavarde5605             5.34667            5.4
     Vardas5606         Pavarde5606             2.94667              3
     Vardas5607         Pavarde5607             4.94667              5
     Vardas5608         Pavarde5608             3.53333            3.8
     Vardas5609         Pavarde5609             5.98667            5.4
      Vardas561          Pavarde561                 7.6            7.6
     Vardas5610         Pavarde5610             3.94667              4
     Vardas5611         Pavarde5611             6.90667            7.2
     Vardas5612         Pavarde5612             5.81333            5.6
     Vardas5613         Pavarde5613             4.69333            4.8
     Vardas5614         Pavarde5614             6.57333            6.6
     Vardas5615         Pavarde5615             5.06667            4.8
     Vardas5616         Pavarde5616             5.49333            5.2
     Vardas5617         Pavarde5617             5.78667              6
     Vardas5618         Pavarde5618                4.48            4.4
     Vardas5619         Pavarde5619             8.18667            8.4
      Vardas562          Pavarde562             6.25333            6.6
     Vardas5620         Pavarde5620             4.14667            4.2
     Vardas5621         Pavarde5621             8.34667            8.4
     Vardas5622         Pavarde5622                5.16              5
     Vardas5623         Pavarde5623                 3.2            2.8
     Vardas5624         Pavarde5624             4.89333              5
     Vardas5625         Pavarde5625             4.66667            4.8
     Vardas5626         Pavarde5626             8.42667            8.4
     Vardas5627         Pavarde5627             3.46667            3.6
     Vardas5628         Pavarde5628             5.78667            5.6
     Vardas5629         Pavarde5629                6.88            6.8
      Vardas563          Pavarde563             7.37333            7.4
     Vardas5630         Pavarde5630             7.90667            7.8
     Vardas5631         Pavarde5631                7.56            7.4
     Vardas5632         Pavarde5632                4.48              4
     Vardas5633         Pavarde5633             2.97333            3.4
     Vardas5634         Pavarde5634             6.78667            7.4
     Vardas5635         Pavarde5635             5.89333            5.6
     Vardas5636         Pavarde5636             7.37333              7
     Vardas5637         Pavarde5637             3.57333            3.6
     Vardas5638         Pavarde5638                5.32            5.8
     Vardas5639         Pavarde5639                3.16            3.4
      Vardas564          Pavarde564             3.22667            3.2
     Vardas5640         Pavarde5640             5.45333            5.4
     Vardas5641         Pavarde5641             6.66667            6.4
     Vardas5642         Pavarde5642             7.21333              7
     Vardas5643         Pavarde5643                6.28            6.2
     Vardas5644         Pavarde5644             2.54667            2.6
     Vardas5645         Pavarde5645             3.66667            3.8
     Vardas5646         Pavarde5646             6.17333            6.2
     Vardas5647         Pavarde5647             7.01333            7.2
     Vardas5648         Pavarde5648             8.13333            7.6
     Vardas5649         Pavarde5649             3.58667            3.8
      Vardas565          Pavarde565                4.36            4.6
     Vardas5650         Pavarde5650             6.54667            6.6
     Vardas5651         Pavarde5651             7.78667            7.6
     Vardas5652         Pavarde5652             4.34667            4.4
     Vardas5653         Pavarde5653             8.18667              8
     Vardas5654         Pavarde5654             6.53333              6
     Vardas5655         Pavarde5655             7.06667            6.8
     Vardas5656         Pavarde5656             3.46667            3.6
     Vardas5657         Pavarde5657             6.17333            6.2
     Vardas5658         Pavarde5658             5.10667            4.6
     Vardas5659         Pavarde5659             5.65333            5.6
      Vardas566          Pavarde566             2.41333            2.2
     Vardas5660         Pavarde5660             6.69333            6.4
     Vardas5661         Pavarde5661             6.82667            6.8
     Vardas5662         Pavarde5662             4.81333            4.6
     Vardas5663         Pavarde5663                   6              6
     Vardas5664         Pavarde5664             6.25333            6.2
     Vardas5665         Pavarde5665             2.81333            2.6
     Vardas5666         Pavarde5666                7.48            7.8
     Vardas5667         Pavarde5667                7.56            7.4
     Vardas5668         Pavarde5668                4.28            4.6
     Vardas5669         Pavarde5669             3.38667            3.2
      Vardas567          Pavarde567                3.28            3.2
     Vardas5670         Pavarde5670             5.54667            5.6
     Vardas5671         Pavarde5671             6.22667            6.2
     Vardas5672         Pavarde5672                6.28            5.4
     Vardas5673         Pavarde5673             3.50667            3.8
     Vardas5674         Pavarde5674                2.44            2.2
     Vardas5675         Pavarde5675                4.64            5.2
     Vardas5676         Pavarde5676             8.10667              8
     Vardas5677         Pavarde5677             3.46667              4
     Vardas5678         Pavarde5678             4.94667            5.4
     Vardas5679         Pavarde5679             2.30667            2.2
      Vardas568          Pavarde568                6.52            6.2
     Vardas5680         Pavarde5680             5.81333            5.6
     Vardas5681         Pavarde5681             6.02667            5.6
     Vardas5682         Pavarde5682             5.38667            5.2
     Vardas5683         Pavarde5683                4.48            4.8
     Vardas5684         Pavarde5684                8.32            8.4
     Vardas5685         Pavarde5685             5.18667              5
     Vardas5686         Pavarde5686             5.10667            5.4
     Vardas5687         Pavarde5687                3.88            3.8
     Vardas5688         Pavarde5688                8.32            8.4
     Vardas5689         Pavarde5689             5.13333              5
      Vardas569          Pavarde569             5.29333            5.4
     Vardas5690         Pavarde5690             3.02667            2.6
     Vardas5691         Pavarde5691             6.74667            6.8
     Vardas5692         Pavarde5692                   8            8.4
     Vardas5693         Pavarde5693             6.85333            6.8
     Vardas5694         Pavarde5694                7.04            7.2
     Vardas5695         Pavarde5695             2.70667            2.2
     Vardas5696         Pavarde5696             3.45333            3.4
     Vardas5697         Pavarde5697             3.10667              3
     Vardas5698         Pavarde5698                3.36            3.2
     Vardas5699         Pavarde5699                 6.2            5.8
       Vardas57           Pavarde57             4.97333            5.4
      Vardas570          Pavarde570             8.53333            8.8
     Vardas5700         Pavarde5700             7.21333            7.4
     Vardas5701         Pavarde5701                 5.8            5.4
     Vardas5702         Pavarde5702             8.10667              8
     Vardas5703         Pavarde5703             4.61333            4.8
     Vardas5704         Pavarde5704             6.78667            6.6
     Vardas5705         Pavarde5705                6.24              6
     Vardas5706         Pavarde5706             5.57333            5.2
     Vardas5707         Pavarde5707             6.33333            5.8
     Vardas5708         Pavarde5708             4.93333            4.8
     Vardas5709         Pavarde5709             4.09333            4.2
      Vardas571          Pavarde571             4.85333            5.2
     Vardas5710         Pavarde5710                 3.6            4.4
     Vardas5711         Pavarde5711             7.85333            7.4
     Vardas5712         Pavarde5712             6.17333            5.8
     Vardas5713         Pavarde5713             7.42667            7.8
     Vardas5714         Pavarde5714             7.74667            7.4
     Vardas5715         Pavarde5715                 3.8            3.8
     Vardas5716         Pavarde5716                 3.6            3.2
     Vardas5717         Pavarde5717             8.02667              8
     Vardas5718         Pavarde5718             5.14667            5.2
     Vardas5719         Pavarde5719             5.62667            5.2
      Vardas572          Pavarde572                6.96            6.4
     Vardas5720         Pavarde5720             8.22667            8.2
     Vardas5721         Pavarde5721             4.05333              4
     Vardas5722         Pavarde5722             3.93333            4.2
     Vardas5723         Pavarde5723                 6.8            6.4
     Vardas5724         Pavarde5724             5.85333            5.4
     Vardas5725         Pavarde5725             5.57333            5.6
     Vardas5726         Pavarde5726             5.98667            5.8
     Vardas5727         Pavarde5727             8.13333            7.6
     Vardas5728         Pavarde5728                4.16            4.4
     Vardas5729         Pavarde5729                 8.4            8.4
      Vardas573          Pavarde573                7.48            7.4
     Vardas5730         Pavarde5730             8.69333            8.8
     Vardas5731         Pavarde5731                2.76            2.6
     Vardas5732         Pavarde5732             7.05333              7
     Vardas5733         Pavarde5733             2.94667              3
     Vardas5734         Pavarde5734             6.49333            6.6
     Vardas5735         Pavarde5735             8.33333            8.6
     Vardas5736         Pavarde5736                7.44            7.2
     Vardas5737         Pavarde5737             6.61333            6.4
     Vardas5738         Pavarde5738                 7.2            6.8
     Vardas5739         Pavarde5739             4.26667            4.4
      Vardas574          Pavarde574                2.88            2.4
     Vardas5740         Pavarde5740             4.22667            4.2
     Vardas5741         Pavarde5741             5.97333            6.4
     Vardas5742         Pavarde5742             3.62667            3.6
     Vardas5743         Pavarde5743                 7.2            6.8
     Vardas5744         Pavarde5744             5.85333            5.4
     Vardas5745         Pavarde5745             4.58667              4
     Vardas5746         Pavarde5746             2.94667              3
     Vardas5747         Pavarde5747             5.34667            5.8
     Vardas5748         Pavarde5748                4.92              5
     Vardas5749         Pavarde5749             6.01333            5.8
      Vardas575          Pavarde575             8.18667            8.4
     Vardas5750         Pavarde5750                 5.8              5
     Vardas5751         Pavarde5751                3.68            3.6
     Vardas5752         Pavarde5752             8.50667              8
     Vardas5753         Pavarde5753             6.17333            6.2
     Vardas5754         Pavarde5754             6.05333              6
     Vardas5755         Pavarde5755             3.18667              3
     Vardas5756         Pavarde5756             2.57333            2.6
     Vardas5757         Pavarde5757             5.33333            5.6
     Vardas5758         Pavarde5758             4.61333            4.4
     Vardas5759         Pavarde5759             8.37333            8.4
      Vardas576          Pavarde576             8.13333              8
     Vardas5760         Pavarde5760                3.08              3
